e401k,inc,marr,male,age,fsize,nettfa,p401k,pira
0,13.17,0,0,40,1,4.575,0,1
1,61.23,0,1,35,1,154,1,0
0,12.858,1,0,44,2,0,0,0
0,98.88,1,1,44,2,21.8,0,0
0,22.614,0,0,53,1,18.45,0,0
0,15,1,0,60,3,0,0,0
0,37.155,1,0,49,5,3.483,0,1
0,31.896,1,0,38,5,-2.1,0,0
0,47.295,1,0,52,2,5.29,0,1
1,29.1,0,1,45,1,29.6,0,1
0,23.457,1,0,61,3,0,0,0
0,31.785,1,0,40,6,18.149,0,0
0,34.941,1,0,48,3,0.695,0,0
0,24.432,1,0,60,2,0.2,0,0
0,25.131,1,0,43,5,-4.25,0,0
0,19.074,0,1,43,1,0,0,0
1,38.772,1,0,47,2,4.15,1,0
1,12.48,1,0,27,2,-10,0,0
1,45.39,1,0,57,2,122.5,0,1
0,39.861,1,0,35,2,1.6,0,1
1,102.6,1,0,53,5,40.999,1,1
0,39.579,1,0,36,4,12.175,0,0
0,40.194,1,0,40,3,8.3,0,1
0,25.254,0,1,31,1,9.687,0,1
0,10.8,0,0,48,2,0.5,0,0
0,27,0,1,42,1,0.13,0,0
0,17.856,1,0,42,5,-15.495,0,0
1,38.94,1,0,35,2,0.2,1,0
0,12.24,0,1,32,2,-2.5,0,1
0,18,0,0,46,2,0,0,1
1,21.456,0,0,25,1,-21.02,1,0
0,14.025,1,0,39,5,1.4,0,0
0,15.186,1,1,36,4,-5.192,0,1
1,41.415,1,0,34,5,5.8,1,1
0,12.966,0,0,52,2,-4.25,0,0
0,58.8,1,0,41,2,63.7,0,1
1,63.849,1,0,44,5,5.899,1,0
1,47.1,0,1,61,2,59.8,1,0
0,36.072,1,0,63,3,72.225,0,1
1,107.64,1,0,51,2,69,1,1
1,58.92,1,0,49,4,19.679,0,0
1,48.615,1,0,36,4,-2.7,0,0
0,29.205,1,0,34,6,0.268,0,0
0,24.441,0,0,36,2,2,0,0
0,18.525,1,0,28,5,-1.98,0,0
0,15.36,1,0,38,4,-0.95,0,0
0,53.475,1,0,54,2,0.33,0,0
1,31.056,1,0,47,6,5.64,1,0
0,36.072,1,0,46,5,0,0,0
1,19.164,1,0,51,2,0.899,0,0
0,44.376,0,1,48,1,24.999,0,0
0,28.329,0,0,54,2,26.53,0,1
1,37.38,0,1,48,1,2.999,0,0
0,17.817,0,1,42,1,1.7,0,0
1,71.028,1,0,60,2,257.6,1,1
0,28.476,0,0,58,1,27,0,1
0,34.041,1,0,30,2,-4,0,0
