ID,Year,State,MinAF,AvgAF,MaxAF,CommitAF,CommitAvgAF,CommitMaxAF,TotalPrice,InfAdjPrice,InfAdjPriceAF,InfAdjCommitPriceAF,Sale,Lease,Exchange,LeaseDuration,AgtoAg,AgtoUrban,AgtoEnivo,UrbantoAg,UrbantoUrban,UrbantoEnviro,EnvirotoAg,EnvirotoUrban,EnvirotoEnviro
OR29,1999,OR,1646,1646,1646,32669.66,32669.66,32669.66,3,2.045618,0.0012428,0.0000626,0,1,,100,0,0,1,0,0,0,0,0,0
AZ186,2006,AZ,1110,1110,1110,22200,22200,22200,277.5,156.37,0.141,0.007,1,0,0,,1,0,0,0,0,0,0,0,0
AZ185,2006,AZ,750,750,750,15000,15000,15000,187.5,105.65,0.141,0.007,1,0,0,,0,1,0,0,0,0,0,0,0
AZ101,1999,AZ,1070,1070,1070,21400,21400,21400,268,182.7419,0.1707868,0.0085393,1,0,0,,0,1,0,0,0,0,0,0,0
AZ89,1998,AZ,3030,3030,3030,60600,60600,60600,758,528.2748,0.1743481,0.0087174,1,0,0,,0,1,0,0,0,0,0,0,0
AZ73,1995,AZ,7010,7010,7010,7010,7010,7010,1752.5,1306.326,0.1863517,0.1863517,0,1,,1,0,1,0,0,0,0,0,0,0
MT41,2008,MT,3000,3000,3000,3000,3000,3000,1230,637.78,0.21,0.21,0,1,,1,0,0,1,0,0,0,0,0,0
ID55,1995,ID,26001,26001,26001,26001,26001,26001,8320.3198,6202.023,0.2385302,0.2385302,0,1,,1,0,0,1,0,0,0,0,0,0
AZ81,1996,AZ,70,70,70,70,70,70,35,25.34098,0.362014,0.362014,0,1,,1,0,1,0,0,0,0,0,0,0
NV66,1995,NV,14550,14550,14550,14550,14550,14550,7275,5422.835,0.3727034,0.3727034,0,1,,1,0,1,0,0,0,0,0,0,0
ID128,2007,ID,40932,40932,40932,40932,40932,40932,30699,16819.59,0.41,0.41,0,1,,1,0,0,1,0,0,0,0,0,0
ID129,2007,ID,19195,19195,19195,19195,19195,19195,14396.25,7887.52,0.41,0.41,0,1,,1,0,0,1,0,0,0,0,0,0
ID120,2006,ID,40932,40932,40932,40932,40932,40932,30699,"17,298.64",0.42,0.42,0,1,,1,0,0,1,0,0,0,0,0,0
ID111,2005,ID,40293,40293,40293,40293,40293,40293,30219.75,17577.9,0.436,0.436,0,1,,1,0,0,1,0,0,0,0,0,0
ID130,2007,ID,90091,90091,90091,90091,90091,90091,16072.8,8806.08,0.44,0.44,0,1,,1,0,0,1,0,0,0,0,0,0
ID131,2007,ID,87450,87450,87450,87450,87450,87450,69960,38330.18,0.44,0.44,0,1,,1,0,0,1,0,0,0,0,0,0
ID81,2000,ID,63828,63828,63828,63828,63828,63828,42871,28281.91,0.4430957,0.4430957,0,1,,1,0,0,1,0,0,0,0,0,0
ID121,2006,ID,20520,20520,20520,20520,20520,20520,16416,"9,250.29",0.45,0.45,0,1,,1,0,0,1,0,0,0,0,0,0
ID112,2005,ID,27987,27987,27987,27987,27987,27987,22389.6,13023.34,0.465,0.465,0,1,,1,0,0,1,0,0,0,0,0,0
ID95,2002,ID,60000,60000,60000,60000,60000,60000,45000,28415.79,0.4735965,0.4735965,0,1,,1,0,0,1,0,0,0,0,0,0
ID74,1999,ID,40932,40932,40932,40932,40932,40932,30699,20932.81,0.5114045,0.5114045,0,1,,1,0,0,1,0,0,0,0,0,0
ID126,2007,ID,95000,95000,95000,95000,95000,95000,95000,52049.27,0.55,0.55,0,1,,1,0,0,1,0,0,0,0,0,0
ID118,2006,ID,95000,95000,95000,95000,95000,95000,95000,"53,531.75",0.56,0.56,0,1,,1,0,0,1,0,0,0,0,0,0
ID109,2005,ID,80000,80000,80000,80000,80000,80000,80000,46533.54,0.582,0.582,0,1,,1,0,0,1,0,0,0,0,0,0
ID96,2002,ID,110000,110000,110000,110000,110000,110000,110000,69460.81,0.6314619,0.6314619,0,1,,1,0,0,1,0,0,0,0,0,0
CO718,1997,CO,50000,50000,50000,50000,50000,50000,55000,38928.35,0.778567,0.778567,0,1,,1,0,1,0,0,0,0,0,0,0
CA61,1990,CA,2000,2000,2000,2000,2000,2000,1993,1732.248,0.866124,0.866124,0,1,,0,1,0,0,0,0,0,0,0,0
NM43,1993,NM,15140,15140,15140,15140,15140,15140,25000,19653.98,1.298149,1.298149,0,1,,1,0,0,1,0,0,0,0,0,0
TX39,1992,TX,15145,15145,15145,15145,15145,15145,25000,20242.34,1.336569,1.336569,0,1,,1,0,0,1,0,0,0,0,0,0
MT47,2009,MT,0,5000,10000,0,21647.38,43294.76,13679.7,7360.01,1.47,0.34,0,1,,5,1,0,0,0,0,0,0,0,0
WY50,2006,WY,5700,5700,5700,5700,5700,5700,15960,8993.33,1.58,1.58,0,1,,1,0,0,0,1,0,0,0,0,0
WY56,2007,WY,20612,20612,20612,20612,20612,20612,63879.2,34526.5,1.68,1.68,0,1,,1,1,0,0,0,0,0,0,0,0
ID144,2007,ID,5180.4,5180.4,5180.4,5180.4,5180.4,5180.4,16577.28,"9,032.47",1.74,1.74,0,1,,1,1,0,0,0,0,0,0,0,0
ID145,2007,ID,950,950,950,950,950,950,3040,"1,656.41",1.74,1.74,0,1,,1,0,1,0,0,0,0,0,0,0
WY52,2006,WY,20000,20000,20000,20000,20000,20000,62000,34936.51,1.75,1.75,0,1,,1,1,0,0,0,0,0,0,0,0
ID134,2007,ID,7116.3,7116.3,7116.3,7116.3,7116.3,7116.3,22772.16,12476.57,1.75,1.75,0,1,,1,1,0,0,0,0,0,0,0,0
ID135,2007,ID,1153,1153,1153,1153,1153,1153,3689.6,2021.48,1.75,1.75,0,1,,1,0,1,0,0,0,0,0,0,0
ID91,2002,ID,25727,25727,25727,25727,25727,25727,75895,47924.8,1.862821,1.862821,0,1,,1,1,0,0,0,0,0,0,0,0
WY40,2003,WY,17491,17491,17491,17491,17491,17491,54222,33476.19,1.91391,1.91391,0,1,,1,1,0,0,0,0,0,0,0,0
WY37,2003,WY,1078,1078,1078,1078,1078,1078,3342,2063.322,1.914028,1.914028,0,1,,1,1,0,0,0,0,0,0,0,0
OR62,2004,OR,8000,8000,8000,8000,8000,8000,25840,15539.57,1.942446,1.942446,0,1,,1,1,0,0,0,0,0,0,0,0
ID80,2000,ID,60333,60333,60333,60333,60333,60333,177982,117414.4,1.946105,1.946105,0,1,,1,1,0,0,0,0,0,0,0,0
MT1,1987,MT,10000,10000,10000,10000,10000,10000,20000,20000,2,2,0,1,,0,0,0,1,0,0,0,0,0,0
ID65,1997,ID,11328,11328,11328,11328,11328,11328,33418,23652.87,2.088,2.088,0,1,,1,1,0,0,0,0,0,0,0,0
ID57,1996,ID,17684,17684,17684,17684,17684,17684,52167.801,37770.95,2.135883,2.135883,0,1,,1,1,0,0,0,0,0,0,0,0
CO639,1996,CO,2000,2000,2000,8658.9533,8658.9533,8658.9533,6000,4344.168,2.172084,0.5016967,0,1,,5,1,0,0,0,0,0,0,0,0
ID27,1992,ID,53700,53700,53700,669220.7,669220.7,669220.7,147675,119571.5,2.226657,0.1786727,0,1,,20,1,0,0,0,0,0,0,0,0
ID40,1994,ID,74638,74638,74638,74638,74638,74638,220182.1,168776.6,2.261269,2.261269,0,1,,1,1,0,0,0,0,0,0,0,0
ID41,1994,ID,277305,277305,277305,277305,277305,277305,818049.76,627061.1,2.261269,2.261269,0,1,,1,0,0,1,0,0,0,0,0,0
ID9,1989,ID,100000,100000,100000,100000,100000,100000,250000,229032.3,2.290323,2.290323,0,1,,1,0,1,0,0,0,0,0,0,0
ID23,1991,ID,99000,99000,99000,99000,99000,99000,272250,227074.9,2.293686,2.293686,0,1,,1,0,1,0,0,0,0,0,0,0
ID22,1991,ID,82177,82177,82177,82177,82177,82177,225987,188488.4,2.293688,2.293688,0,1,,1,1,0,0,0,0,0,0,0,0
WY18,1995,WY,5000,5000,5000,5000,5000,5000,15500,11553.81,2.310761,2.310761,0,1,,0,1,0,0,0,0,0,0,0,0
WY19,1995,WY,7000,7000,7000,7000,7000,7000,21699.999,16175.33,2.310761,2.310761,0,1,,0,1,0,0,0,0,0,0,0,0
ID36,1993,ID,103968,103968,103968,103968,103968,103968,311904,245206.2,2.358478,2.358478,0,1,,1,1,0,0,0,0,0,0,0,0
ID37,1993,ID,184000,184000,184000,184000,184000,184000,552000,433959.9,2.358478,2.358478,0,1,,1,0,0,1,0,0,0,0,0,0
WY13,1994,WY,940,940,940,940,940,940,2913.9999,2233.673,2.376248,2.376248,0,1,,0,1,0,0,0,0,0,0,0,0
WY14,1994,WY,1500,1500,1500,1500,1500,1500,4649.9999,3564.373,2.376248,2.376248,0,1,,0,1,0,0,0,0,0,0,0,0
ID17,1990,ID,16852,16852,16852,16852,16852,16852,46343,40279.76,2.390207,2.390207,0,1,,1,1,0,0,0,0,0,0,0,0
ID18,1990,ID,50000,50000,50000,50000,50000,50000,137500,119510.3,2.390207,2.390207,0,1,,1,0,1,0,0,0,0,0,0,0
ID20,1990,ID,13000,13000,13000,13000,13000,13000,35750,31072.69,2.390207,2.390207,0,1,,1,0,1,0,0,0,0,0,0,0
ID5,1988,ID,150000,150000,150000,150000,150000,150000,375000,360101.4,2.400676,2.400676,0,1,,1,1,0,0,0,0,0,0,0,0
ID4,1988,ID,50000,50000,50000,50000,50000,50000,125000,120033.8,2.400676,2.400676,0,1,,1,0,1,0,0,0,0,0,0,0
ID31,1992,ID,5000,5000,5000,5000,5000,5000,15000,12145.4,2.42908,2.42908,0,1,,1,1,0,0,0,0,0,0,0,0
WY58,2007,WY,1445,1445,1445,1445,1445,1445,7225,3905.09,2.7,2.7,0,1,,1,1,0,0,0,0,0,0,0,0
MT9,1999,MT,5390,5390,5390,5390,5390,5390,22060,15042.11,2.790744,2.790744,0,1,,1,1,0,0,0,0,0,0,0,0
OR13,1997,OR,500,500,500,500,500,500,2000,1415.576,2.831153,2.831153,0,1,,1,1,0,0,0,0,0,0,0,0
WY47,2005,WY,7250,7250,7250,7250,7250,7250,36250,21085.51,2.908346,2.908346,0,1,,1,1,0,0,0,0,0,0,0,0
CA112,1991,CA,2500,2500,2500,2500,2500,2500,8750,7298.091,2.919236,2.919236,0,1,,1,1,0,0,0,0,0,0,0,0
WY42,2004,WY,8000,8000,8000,8000,8000,8000,40000,24055.06,3.006882,3.006882,0,1,,1,1,0,0,0,0,0,0,0,0
OR79,2005,OR,24731,24731,24731,24731,24731,24731,130369,75831.63,3.066258,3.066258,0,1,,1,0,0,1,0,0,0,0,0,0
WY54,2006,WY,4200,4200,4200,4200,4200,4200,24990,"14,081.67",3.35,3.35,0,1,,1,1,0,0,0,0,0,0,0,0
WY29,1999,WY,740,740,740,740,740,740,3700,2522.929,3.409364,3.409364,0,1,,1,1,0,0,0,0,0,0,0,0
ID141,2007,ID,20120,20120,20120,20120,20120,20120,126756,"69,065.57",3.42,3.42,0,1,,1,1,0,0,0,0,0,0,0,0
WY17,1995,WY,1465,1465,1465,1465,1465,1465,7325,5460.105,3.727034,3.727034,0,1,,0,1,0,0,0,0,0,0,0,0
OR4,1994,OR,10000,10000,10000,10000,10000,10000,50000,38326.59,3.832659,3.832659,0,1,,1,1,0,0,0,0,0,0,0,0
WY12,1994,WY,360,360,360,360,360,360,1800,1379.757,3.832659,3.832659,0,1,,0,1,0,0,0,0,0,0,0,0
TX243,2006,TX,1100,1100,1100,1100,1100,1100,7920,4293.81,3.9,3.9,0,1,,1,1,0,0,0,0,0,0,0,0
UT47,1997,UT,9038,9038,9038,9038,9038,9038,50613,35823.28,3.963629,3.963629,0,1,,1,1,0,0,0,0,0,0,0,0
CA690,2009,CA,1250,1250,1250,1250,1250,1250,9525,5043.605532,4.034884426,4.034884426,0,1,,1,1,0,0,0,0,0,0,0,0
CA128,1992,CA,15000,15000,15000,15000,15000,15000,75000,60727.01,4.048468,4.048468,0,1,,1,0,1,0,0,0,0,0,0,0
UT45,1996,UT,11753,11753,11753,11753,11753,11753,65816.799,47653.21,4.054557,4.054557,0,1,,1,1,0,0,0,0,0,0,0,0
UT50,1999,UT,2336,2336,2336,2336,2336,2336,14016,9557.128,4.091236,4.091236,0,1,,1,1,0,0,0,0,0,0,0,0
CA22,1989,CA,90000,90000,90000,90000,90000,90000,405000,371032.3,4.122581,4.122581,0,1,,1,0,0,1,0,0,0,0,0,0
UT41,1995,UT,15924,15924,15924,15924,15924,15924,89174.398,66471.21,4.174279,4.174279,0,1,,1,1,0,0,0,0,0,0,0,0
OR22,1998,OR,6000,6000,6000,6000,6000,6000,36000,25089.57,4.181595,4.181595,0,1,,1,1,0,0,0,0,0,0,0,0
MT23,2005,MT,5190,5190,5190,5190,5190,5190,37385,21745.7,4.189924,4.189924,0,1,,1,1,0,0,0,0,0,0,0,0
OR120,2009,OR,2206.645,2206.645,2206.645,2206.645,2206.645,2206.645,17653.16,9347.566974,4.236099134,4.236099134,0,1,,1,1,0,0,0,0,0,0,0,0
ID78,2000,ID,2807,2807,2807,2807,2807,2807,18245.5,12036.52,4.288037,4.288037,0,1,,1,1,0,0,0,0,0,0,0,0
UT37,1994,UT,3051,3051,3051,3051,3051,3051,17084.48,13095.8,4.292296,4.292296,0,1,,1,1,0,0,0,0,0,0,0,0
UT34,1994,UT,11389,11389,11389,11389,11389,11389,63778.399,48888.17,4.292578,4.292578,0,1,,1,1,0,0,0,0,0,0,0,0
OR99,2007,OR,4402.65,4402.65,4402.65,4402.65,4402.65,4402.65,35221.2,19036.95,4.32,4.32,0,1,,1,1,0,0,0,0,0,0,0,0
MT16,2005,MT,500,500,500,500,500,500,3750,2181.26,4.362519,4.362519,0,1,,1,0,0,1,0,0,0,0,0,0
