Price ,Milliage,Year
"$29,995",5,2023
"$25,986",6,2022
"$25,975",6,2022
"$23,988",9,2022
"$22,990",52,2022
"$25,995",55,2022
"$24,491",64,2022
"$24,491",64,2022
"$24,491",65,2022
"$24,491",67,2022
"$24,491",68,2022
"$24,491",69,2022
"$23,992",70,2022
"$24,491",74,2022
"$24,491",75,2022
"$24,491",77,2022
"$24,491",86,2022
"$23,992",99,2022
"$23,992",100,2022
"$24,491",102,2022
"$23,992",114,2022
"$25,377",123,2022
"$27,999",127,2022
"$24,499",147,2022
"$24,491",169,2022
"$24,491",198,2022
"$23,980",260,2023
"$29,463",275,2022
"$24,491",289,2022
"$22,744",301,2022
"$25,987",358,2022
"$23,991",382,2022
"$24,998",399,2022
"$25,200",419,2022
"$21,900",427,2021
"$25,998",427,2022
"$24,791",491,2022
"$29,991",657,2023
"$21,995",663,2021
"$24,499",821,2022
"$25,998",879,2023
"$24,000",930,2022
"$24,392",938,2022
"$25,495",974,2022
"$23,999",983,2022
"$21,995",1027,2022
"$24,491",1029,2022
"$21,999",1050,2020
"$25,990",1145,2022
"$24,999",1189,2022
"$24,981",1306,2020
"$24,956",1320,2022
"$19,399",1320,2021
"$20,998",1360,2022
"$23,446",1399,2022
"$25,750",1415,2022
"$20,950",1509,2022
"$23,990",1573,2022
"$22,998",1592,2022
"$26,998",1645,2022
"$22,188",1718,2016
"$24,990",1780,2022
"$22,127",1785,2022
"$22,999",1803,2022
"$20,862",1936,2021
"$23,990",1982,2022
"$23,999",2019,2022
"$24,990",2029,2022
"$26,998",2078,2022
"$22,199",2081,2022
"$20,498",2098,2022
"$20,787",2146,2019
"$21,980",2245,2020
"$24,990",2249,2022
"$25,477",2262,2022
"$24,486",2283,2022
"$22,998",2342,2019
"$26,899",2346,2022
"$25,998",2346,2022
"$22,431",2355,2022
"$21,327",2357,2021
"$23,500",2364,2022
"$22,791",2391,2022
"$24,983",2493,2022
"$24,992",2596,2022
"$25,998",2632,2020
"$23,998",2658,2022
"$23,590",2707,2022
"$22,595",2741,2020
"$24,000",2745,2022
"$23,483",2880,2022
"$22,490",2891,2022
"$23,822",2910,2022
"$23,816",2953,2021
"$23,000",2954,2022
"$22,495",2974,2022
"$26,365",3000,2022
"$24,911",3026,2022
"$25,999",3138,2022
"$23,744",3156,2022
"$23,990",3197,2022
"$22,959",3235,2021
"$23,473",3248,2022
"$22,998",3259,2020
"$22,550",3282,2022
"$23,998",3356,2022
"$20,000",3409,2019
"$21,229",3439,2022
"$24,590",3448,2022
"$17,890",3476,2021
"$20,950",3521,2020
"$21,793",3605,2020
"$22,995",3621,2022
"$22,999",3639,2022
"$20,666",3708,2020
"$24,875",3735,2022
"$24,548",3760,2022
"$22,990",3805,2021
"$21,788",3849,2022
"$22,998",3875,2020
"$23,980",3943,2022
"$23,538",3950,2022
"$20,664",3956,2021
"$26,696",3990,2022
"$24,250",4090,2022
"$22,659",4127,2020
"$19,500",4149,2022
"$24,980",4187,2022
"$21,999",4200,2021
"$18,199",4245,2018
"$24,998",4276,2020
"$22,677",4291,2022
"$23,975",4410,2022
"$16,998",4429,2017
"$24,998",4510,2022
"$21,560",4627,2022
"$23,607",4714,2022
"$22,499",4776,2020
"$21,998",4812,2015
"$24,999",4827,2022
