Time,Date,Temp(celsius),Weather,Wind( km/h),Humidity,Barometer(mbar),Visibility( km)
12:53:00 PM,12/8/22,-4,Overcast.,7 km/h,81%,1031,16
11:04:00 AM,12/9/22,-1,Mostly cloudy.,41 km/h,82%,1015,13
1:53:00 PM,12/10/22,3,Sunny.,13 km/h,62%,1015,16
6:53:00 AM,12/11/22,3,Mostly cloudy.,19 km/h,60%,1008,16
3:53:00 PM,12/12/22,-4,Ice fog.,6 km/h,91%,1037,1
5:53:00 PM,12/13/22,-9,Light snow. Overcast.,11 km/h,77%,1035,6
1:53:00 PM,12/14/22,-19,Sunny.,15 km/h,53%,1040,16
7:53:00 AM,12/15/22,2,Overcast.,50 km/h,82%,1011,16
10:53:00 PM,12/16/22,-1,Overcast.,30 km/h,72%,1024,16
12:53:00 PM,12/17/22,-16,Sunny.,7 km/h,76%,1034,16
1:53:00 PM,12/18/22,-13,Sunny.,No wind,76%,1024,16
12:53:00 PM,12/19/22,-9,Overcast.,9 km/h,77%,1028,14
3:53:00 AM,12/20/22,-8,Low clouds.,9 km/h,88%,1033,16
10:53:00 AM,12/21/22,-6,Ice fog.,11 km/h,85%,1029,10
2:53:00 PM,12/22/22,-4,Light snow. Low clouds.,13 km/h,81%,1025,10
12:11:00 AM,12/23/22,-3,Light snow. Ice fog.,9 km/h,85%,1008,4
12:38:00 AM,12/24/22,1,Light snow. Fog.,13 km/h,88%,1002,8
2:53:00 PM,12/25/22,-2,Ice fog.,No wind,89%,1032,1
1:53:00 PM,12/26/22,1,Scattered clouds.,11 km/h,82%,1024,11
12:53:00 PM,12/27/22,7,Overcast.,35 km/h,65%,1001,16
3:53:00 PM,12/28/22,1,Mostly cloudy.,30 km/h,72%,1007,16
3:53:00 PM,12/29/22,-2,Sunny.,No wind,75%,1016,16
9:53:00 AM,12/30/22,2,Overcast.,7 km/h,85%,1007,16
2:53:00 PM,12/31/22,-1,Sunny.,32 km/h,64%,1011,16
1:53:00 PM,1/1/23,-4,Overcast.,19 km/h,71%,1013,16
5:53:00 PM,1/2/23,-3,Overcast.,15 km/h,72%,1018,16
2:53:00 PM,1/3/23,-7,Overcast.,15 km/h,78%,1027,16
2:53:00 PM,1/4/23,1,Overcast.,7 km/h,78%,1017,16
9:23:00 PM,1/5/23,1,Light snow. Fog.,11 km/h,88%,1006,2
